Title,Author,Source,Persona,Date_Collected,Trend_Reason,Trend_Category,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description,Content_Warning_Category,Diversity_Category,Genre_Category,Genre_Tropes,Genre_Themes,Genre_Format,Genre_Subtags
The Serpent and the Wings of Night,Carissa Broadbent,BookTok,Kenna,25-Jan,Romantasy fav resurging with Fourth Wing fans,Romantasy Resurgence,"Romantasy, Vampires, Trials, Trauma",Yes,Self-Published,2022,496,Not Yet Considered,,"Violence, death, trauma",Oraya enters a brutal vampire trial to claim her power - and her place in a world that fears her. ,"Death / Grief, Violence",,Romantasy,"Trials, Vampires",Trauma Recovery,,"Trauma Recovery, Trials, Vampires"
Onyx Storm,Rebecca Yarros,BookTok,Kenna,25-Jan,"Anticipated sequel, trauma themes",Series Momentum,"Romantasy, Military",Yes,Entangled,2024,544,Not Yet Considered,,"PTSD, war",Book 3 of a popular dragon-themed series,"Mental Health, War / Political Oppression",,Romantasy,,,,
A Curse Carved in Bone,Danielle L. Jensen,B&N Reads,Kenna,25-Jan,Indie dark romantasy,Indie Author Buzz,"Fantasy, Romance, Why Choose",Yes,Del Rey,2024,448,Not Yet Considered,,Violence,"Spicy, broody love triangle fantasy",Violence,,Fantasy,Why Choose,,,Why Choose
Legendborn,Tracy Deonn,BookTok,Kenna,25-Jan,"BIPOC author, emotional fantasy",Emotional / Trauma Themes,"YA Fantasy, Grief, Academia",Yes,Simon & Schuster,2020,512,Not Yet Considered,Bipoc,"Racism, grief",Arthurian retelling with Southern Black heroine,"Death / Grief, Racism / Discrimination",Uncategorized,Fantasy,,Grief,,Grief
Scythe and Sparrow,Brynne Weaver,BookTok,Kenna,25-Jan,Queer romantasy rising,Romantasy Resurgence,"Queer Fantasy, Romance, Gothic",Yes,Self-Published,2024,380,Not Yet Considered,Lgbtq+,Grief,"Two girls, a sparrow, and emotional damage",Death / Grief,Queer Identity,Fantasy,,,,
Problematic Summer Romance,Ali Hazelwood,BookTok,Kenna,25-Jan,Satirical viral romance,Viral Momentum,"Romance, Academia",No,Berkley,2025,368,Not Yet Considered,,Sexism,Spoof on academic romance clichés,Uncategorized,,Romance,,,,
Wild Dark Shore,Charlotte McConaghy,B&N Reads,Kenna,25-Jan,Nature + grief theme,Emotional / Trauma Themes,"Environmental Fiction, Romance",No,Flatiron,2023,400,Not Yet Considered,,Animal death,Quietly emotional eco-romance,Death / Grief,,Romance,,,,
The Knight and the Moth,Rachel Gillig,B&N Reads,Kenna,25-Jan,Moody romantasy launch,Romantasy Resurgence,"Fantasy, Gothic, Romance",Yes,Orbit,2025,432,Not Yet Considered,,"Death, war",Slow-burn lovers + political strife,"Death / Grief, War / Political Oppression",,Fantasy,,,,
Belladonna,Adalyn Grace,BookTok,Kenna,25-Jan,Gothic fantasy re-trending,Other / Uncategorized,"YA Fantasy, Paranormal",Yes,"Little, Brown",2022,416,Film,,Death,She can see spirits... and kiss them,Death / Grief,,Fantasy,,,,
Sunrise on the Reaping,Suzanne Collins,B&N Reads,Kenna,25-Jan,Hunger Games revival,Viral Momentum,"YA, Dystopia",Yes,Scholastic,2025,TBD,Film,,"Death, oppression",Prequel to the original series,Death / Grief,,Speculative Fiction,,,,
Stealing Sunshine,Hannah Cowan,BookTok,Kenna,25-Jan,Indie romance with grief arc,Emotional / Trauma Themes,"Contemporary, Romance, Grief",No,Self-Published,2024,350,Not Yet Considered,,"Loss, anxiety",Love story between healing people,"Death / Grief, Mental Health",,Romance,,Grief,,Grief
"The Savage, Noble Death of Babs Dionne",Ron Currie,B&N Reads,Kenna,25-Jan,Lit-fic w/ social commentary,Viral Momentum,"Literary Fiction, Satire",No,Viking,2024,340,Not Yet Considered,,Suicide,Dark + witty social satire,Death / Grief,,Uncategorized,,Satire,,Satire
The Amalfi Curse,Sarah Penner,B&N Reads,Kenna,25-Jan,Atmospheric + gothic blend,Other / Uncategorized,"Mystery, Romance, Historical",No,Park Row,2024,392,Not Yet Considered,,"Cult, religious trauma",Beautiful setting + sinister secrets,Religious Trauma / Cults,,Romance,,,,
